Date,Country,Infected_Population_Percentages,Vaccinated_Percentage,Deaths_Infected_Percentage
2020-04-15,Brazil,0.013234050477276077,,6.129943502824859
2020-04-16,Brazil,0.014217725486268524,,6.3237469186524242
2020-04-17,Brazil,0.015739734751963729,,6.3565108960275518
2020-04-18,Brazil,0.017130431581779182,,6.4215178133013247
2020-04-19,Brazil,0.018063170450163472,,6.3693278832721063
2020-04-20,Brazil,0.019039368594479491,,6.3495569791129762
2020-04-21,Brazil,0.020130990837237857,,6.3627289398546854
2020-04-22,Brazil,0.021382431062454854,,6.3509408396529494
2020-04-23,Brazil,0.023382025059356843,,6.6572068110960112
2020-04-24,Brazil,0.025254512356759566,,6.853801602427696
2020-04-25,Brazil,0.027722345004022812,,6.8387162025487154
2020-04-26,Brazil,0.029486885067659622,,6.7923930269413626
2020-04-27,Brazil,0.031517788435394142,,6.82471903448685
2020-04-28,Brazil,0.034223011536133954,,6.9406704444596166
2020-04-29,Brazil,0.037237122608818653,,6.9184915605195467
2020-04-30,Brazil,0.040742837533978435,,6.8886416552926475
2020-05-01,Brazil,0.043086367305996076,,6.9542960022559166
2020-05-02,Brazil,0.045375222505067342,,6.9629248197734288
2020-05-03,Brazil,0.047583701408867016,,6.9245575786144986
2020-05-04,Brazil,0.0507585650720949,,6.7823605229239554
2020-05-05,Brazil,0.053952588201056126,,6.8754060023385728
2020-05-06,Brazil,0.059165832096694966,,6.7829809416243458
2020-05-07,Brazil,0.063447271732034072,,6.7686506153653525
2020-05-08,Brazil,0.068644159986193221,,6.8192029626805724
2020-05-09,Brazil,0.072927936141743713,,6.828099268875631
2020-05-10,Brazil,0.07602990037437643,,6.8365509314746857
2020-05-11,Brazil,0.079251961745874261,,6.8711157234336113
2020-05-12,Brazil,0.083280122590299391,,6.9921554984456886
2020-05-13,Brazil,0.088851788686364466,,6.9634000746829923
2020-05-14,Brazil,0.094939825749145265,,6.8904584943272713
2020-05-15,Brazil,0.10294287477717601,,6.7919252261781011
2020-05-16,Brazil,0.10912063421607393,,6.7071786768075166
2020-05-17,Brazil,0.11265765851206627,,6.6857474697195958
2020-05-18,Brazil,0.11933449866811571,,6.5994956298361576
2020-05-19,Brazil,0.12705295953439993,,6.6141935009287014
2020-05-20,Brazil,0.13625604534299723,,6.4678869191539849
2020-05-21,Brazil,0.14490490855745433,,6.46495983385308
2020-05-22,Brazil,0.15462623454893648,,6.3610263229472022
2020-05-23,Brazil,0.16234048967884018,,6.3365361919182028
2020-05-24,Brazil,0.16972996849936162,,6.2404497661139118
2020-05-25,Brazil,0.17519135084144938,,6.2611697048263792
2020-05-26,Brazil,0.18281962202757418,,6.2654963166693083
2020-05-27,Brazil,0.19244561799443188,,6.2158073531947133
2020-05-28,Brazil,0.20479038887925541,,6.1049019026191242
2020-05-29,Brazil,0.21737395212968236,,5.993129334474145
2020-05-30,Brazil,0.23292302683239718,,5.7848487280314584
2020-05-31,Brazil,0.24059101886211551,,5.6937082523225255
2020-06-01,Brazil,0.24601081114444065,,5.6866123275467428
2020-06-02,Brazil,0.25953272091175916,,5.6175648156317353
2020-06-03,Brazil,0.27291303755426782,,5.5731349826032162
2020-06-04,Brazil,0.28736441506167471,,5.532400669332505
2020-06-05,Brazil,0.30177139868506531,,5.4239041393930671
2020-06-06,Brazil,0.31442365562970692,,5.3400035074890839
2020-06-07,Brazil,0.32326130967724376,,5.2699065280054587
2020-06-08,Brazil,0.33057648715504323,,5.2492748214618921
2020-06-09,Brazil,0.34557274117574471,,5.1934880588719725
2020-06-10,Brazil,0.3609531191191977,,5.1371281796337724
2020-06-11,Brazil,0.37516476965291662,,5.0968576083544672
2020-06-12,Brazil,0.38730626327934975,,5.0467537795152086
2020-06-13,Brazil,0.39744863021292326,,5.0228450090180763
2020-06-14,Brazil,0.40544420237627748,,4.9943293408204479
2020-06-15,Brazil,0.41509262893716448,,4.9488275537533033
2020-06-16,Brazil,0.43140995148538219,,4.9005133293399288
2020-06-17,Brazil,0.44645153399818455,,4.86823526210072
2020-06-18,Brazil,0.45708971052061353,,4.8814998231340647
2020-06-19,Brazil,0.48268442022015057,,4.7394117413567267
2020-06-20,Brazil,0.49888398214971458,,4.6812460717192828
2020-06-21,Brazil,0.50624962846407984,,4.6699054129770774
2020-06-22,Brazil,0.51705790365789761,,4.6337451535061955
2020-06-23,Brazil,0.5354865058691215,,4.5941813726431313
2020-06-24,Brazil,0.55545207107539329,,4.5287393648659675
2020-06-25,Brazil,0.57390263657660423,,4.4760502689489741
2020-06-26,Brazil,0.59580050399769025,,4.389187544216588
2020-06-27,Brazil,0.61388189930550252,,4.3443277482040727
2020-06-28,Brazil,0.62812345729792718,,4.2868950699441948
2020-06-29,Brazil,0.63936305412276628,,4.2621117603850331
2020-06-30,Brazil,0.65517942673766338,,4.2505176382145748
2020-07-01,Brazil,0.67700813316049246,,4.1851164415190167
2020-07-02,Brazil,0.699487794114213,,4.1342598963963182
2020-07-03,Brazil,0.719218772691262,,4.10465725975436
2020-07-04,Brazil,0.7369403438865213,,4.0751323395501853
2020-07-05,Brazil,0.74911408149187153,,4.0464612879782669
2020-07-06,Brazil,0.75856717496308679,,4.034229376991334
2020-07-07,Brazil,0.7797383845984327,,3.9998465769581366
2020-07-08,Brazil,0.80056659306674727,,3.9671717761329939
2020-07-09,Brazil,0.82048262404453787,,3.9403592365553979
2020-07-10,Brazil,0.84153373654101848,,3.9092039379685
2020-07-11,Brazil,0.85976934218278211,,3.8845014539228742
2020-07-12,Brazil,0.8713729688565548,,3.866613109695439
2020-07-13,Brazil,0.88085269865818,,3.8638872722970752
2020-07-14,Brazil,0.9004126439557556,,3.8474193802859005
2020-07-15,Brazil,0.91906929053961051,,3.8320110151376792
2020-07-16,Brazil,0.94028629597109947,,3.8112447823249842
2020-07-17,Brazil,0.95625734622399006,,3.8044243151635513
2020-07-18,Brazil,0.96959046515822878,,3.7964971130582303
2020-07-19,Brazil,0.98058566196895725,,3.78804883174664
2020-07-20,Brazil,0.99005183995335633,,3.7816605511255776
2020-07-21,Brazil,1.0092150441190391,,3.77315069913977
2020-07-22,Brazil,1.0409262964279358,,3.715846454837096
2020-07-23,Brazil,1.0689463141068889,,3.6757560191914664
2020-07-24,Brazil,1.0950644043337758,,3.6374172877817634
2020-07-25,Brazil,1.1189656041841021,,3.6102957052227325
2020-07-26,Brazil,1.1304510029351786,,3.5965575499226778
2020-07-27,Brazil,1.1413317102555494,,3.5874097957930293
2020-07-28,Brazil,1.1604051920451151,,3.5655332191522922
2020-07-29,Brazil,1.1926837514613355,,3.5315298372230157
2020-07-30,Brazil,1.2197112153544929,,3.4965300206658592
2020-07-31,Brazil,1.2441900030010733,,3.4732590042760805
2020-08-01,Brazil,1.2654018680880972,,3.4552160234752169
2020-08-02,Brazil,1.2774583123788359,,3.4423964499097739
2020-08-03,Brazil,1.2852347189463624,,3.4419656199755808
2020-08-04,Brazil,1.3093490094399669,,3.4197609425818931
2020-08-05,Brazil,1.3360563700641648,,3.4016620072310149
2020-08-06,Brazil,1.3608884395667062,,3.3820683384314059
2020-08-07,Brazil,1.3843611216102647,,3.3611459734907889
2020-08-08,Brazil,1.4077123046028313,,3.3354335329961509
2020-08-09,Brazil,1.418464970615618,,3.3289934645001589
2020-08-10,Brazil,1.4287680901397346,,3.3279803236008854
2020-08-11,Brazil,1.4531426689848872,,3.3131272852397231
2020-08-12,Brazil,1.4789168234366585,,3.2925143414165574
2020-08-13,Brazil,1.5069975906411075,,3.2702962842602323
2020-08-14,Brazil,1.5306637365581686,,3.25209432395467
2020-08-15,Brazil,1.5500923694198647,,3.2327071631330537
2020-08-16,Brazil,1.5608875601004986,,3.2289113486420113
2020-08-17,Brazil,1.5699406413115249,,3.23065154171516
2020-08-18,Brazil,1.5922702976676746,,3.2250244617964561
2020-08-19,Brazil,1.6153074523438313,,3.2140927116759221
2020-08-20,Brazil,1.6364870734519383,,3.2068761199037685
2020-08-21,Brazil,1.6506720876552472,,3.2091565623823373
2020-08-22,Brazil,1.6740522434984351,,3.1892365986463682
2020-08-23,Brazil,1.6849969714725976,,3.18222144815703
2020-08-24,Brazil,1.6929775899065989,,3.1828160119861075
2020-08-25,Brazil,1.7150034986352689,,3.17657108524671
2020-08-26,Brazil,1.7370420245730802,,3.1654576778590946
2020-08-27,Brazil,1.75771321888319,,3.1543915535502691
2020-08-28,Brazil,1.7779998219665059,,3.1408722081011815
2020-08-29,Brazil,1.7973228441146474,,3.126812687898791
2020-08-30,Brazil,1.8048735428297542,,3.1283860880182877
2020-08-31,Brazil,1.8263513039168338,,3.1057459665038665
2020-09-01,Brazil,1.8462860270563153,,3.1029648455009715
2020-09-02,Brazil,1.86821847497653,,3.0961525714350033
2020-09-03,Brazil,1.8886737748191076,,3.0832548585499242
2020-09-04,Brazil,1.9121151474918336,,3.0671579580727411
2020-09-05,Brazil,1.9266945663068242,,3.0609507640067912
2020-09-06,Brazil,1.9334802883047242,,3.061011654079822
2020-09-07,Brazil,1.9382809027310328,,3.0609041818373814
2020-09-08,Brazil,1.9449535371507016,,3.062512358625137
2020-09-09,Brazil,1.9616904987288839,,3.0619913961517327
2020-09-10,Brazil,1.9806429487715,,3.0558841613176146
2020-09-11,Brazil,2.0010725468917525,,3.0450958907692467
2020-09-12,Brazil,2.0167379803009942,,3.0403038959961646
2020-09-13,Brazil,2.0236391263973368,,3.0395189420049396
2020-09-14,Brazil,2.03072111915804,,3.0376863087115504
2020-09-15,Brazil,2.0478492142196081,,3.0376771088362338
2020-09-16,Brazil,2.0650553490562356,,3.0347019958665631
2020-09-17,Brazil,2.0820198877030069,,3.0285815864214682
2020-09-18,Brazil,2.1006171866734924,,3.0208558806170958
2020-09-19,Brazil,2.1160648563990336,,3.0151228733459359
2020-09-20,Brazil,2.123723502347906,,3.0122370824989235
2020-09-21,Brazil,2.1299905168588791,,3.0116453563373731
2020-09-22,Brazil,2.1455629567637078,,3.0079296697016398
2020-09-23,Brazil,2.1455629567637078,,3.0079296697016398
2020-09-24,Brazil,2.1765629723202591,,3.0016518875617204
2020-09-25,Brazil,2.1914751116133511,,2.9967718018523062
2020-09-26,Brazil,2.2047362657250789,,2.9971655308371719
2020-09-27,Brazil,2.2114271250023969,,2.9951763504876796
2020-09-28,Brazil,2.2175745096785464,,2.9935534228054412
2020-09-29,Brazil,2.2325553426658531,,2.9915299186482032
2020-09-30,Brazil,2.2481693726304446,,2.9921834321187046
2020-10-01,Brazil,2.2650656848870425,,2.9848824821150495
2020-10-02,Brazil,2.2650656848870425,,2.9848824821150495
2020-10-03,Brazil,2.2929828956766949,,2.9751776757024335
2020-10-04,Brazil,2.2969344186581866,,2.977485148889516
2020-10-05,Brazil,2.3025168327472243,,2.9768216859963044
2020-10-06,Brazil,2.3220996759428716,,2.9681991313991696
2020-10-07,Brazil,2.3368445203888282,,2.9641485761776267
2020-10-08,Brazil,2.3498122075620067,,2.9622881352561548
2020-10-09,Brazil,2.3626368996982481,,2.9596976831765263
2020-10-10,Brazil,2.3751368155251078,,2.9551195570330915
2020-10-11,Brazil,2.3809042820148862,,2.9536529983734967
2020-10-12,Brazil,2.3848431877872369,,2.9527131673579694
2020-10-13,Brazil,2.389619035099305,,2.9528546073355355
2020-10-14,Brazil,2.4023460606907103,,2.9517806640636017
2020-10-15,Brazil,2.4156749738885686,,2.9492864336306091
2020-10-16,Brazil,2.4301212110515107,,2.9462531007826471
2020-10-17,Brazil,2.4413654809167724,,2.9415074989060863
2020-10-18,Brazil,2.4413654809167724,,2.9415074989060863
2020-10-19,Brazil,2.4536859519913978,,2.9362791095404503
2020-10-20,Brazil,2.4645400229813585,,2.9358807452624731
